IE;CNPJ;RAZAO;SIT;ARRECADACAO;ENTRADAS;SAIDAS;REGIME;SEGM;MUNICIPIO;DRR;DATA-IE
"073483125";"28465282000111";"MAURICIO JOSE DA SILVA 06264314412";"C";;597.621,00;518.754,50;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";29/08/2017
"073434698";"28481614000151";"JAILSON RODRIGUES FERREIRA 06595959313";"A";;343.666,20;;"SIMEI";"BEBIDAS";"MOREILANDIA";"III";29/08/2017
"073434264";"28481431000136";"MARIA JOSE FERREIRA DE CASTRO 53309383334";"C";;407.167,75;;"SIMEI";"BEBIDAS";"SERTANIA";"II";29/08/2017
"073428370";"28478621000102";"SAMUEL SALES DA SILVA 07676240417";"C";;;401.191,06;"NORMAL";"TECIDOS";"IBIRAJUBA";"II";29/08/2017
"073414743";"28388463000272";"ANDRE FRANCISCO DA SILVA CONFECCOES";"C";;192.200,94;270.423,52;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";29/08/2017
"073414662";"27156601000497";"ANA CLAUDIA SILVA TECIDOS";"S";;381.956,64;1.034.370,30;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";29/08/2017
"073412708";"28525066000114";"CARLOS DIEGO LINS ME";"C";7.467,45;215.909,20;;"NORMAL";"SUPERMERCADOS";"PALMARES";"I";29/08/2017
"073394297";"28472274000100";"LINDRACIL S DA SILVA ME";"C";;167.360,15;;"SIMPLES NACIONAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";23/08/2017
"073391433";"28470328000190";"DANIELLA DA SILVA MEDINO COMERCIO EPP";"C";;;;"NORMAL";"BEBIDAS";"AGRESTINA";"II";22/08/2017
"073387835";"28459772000105";"MARIA DAS GRACAS CLEMENTINO 03600052411";"A";5,34;121.917,45;;"SIMEI";"VAREJO";"PETROLINA";"III";21/08/2017
"073356280";"28439770000154";"ANTONIO FLORENCIO DA SILVA 07428196477";"S";13.032,95;186.801,58;;"SIMPLES NACIONAL";"VAREJO";"PASSIRA";"I";21/08/2017
"073331457";"28422880000103";"TERCIO FRANCISCO DA SILVA SOUZA 70508851424";"C";;4.994,40;779.277,60;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";21/08/2017
"073325309";"26367624000135";"MANOEL FELIX DUARTE 07180049301";"A";;361.231,41;;"SIMEI";"BEBIDAS";"MORENO";"I";21/08/2017
"073324671";"28417971000150";"JOAO RICARDO DOS SANTOS 00743377427";"A";;96.045,72;676.730,00;"SIMEI";"TECIDOS";"JABOATAO DOS GUARARAPES";"I";21/08/2017
"073304050";"28454977000106";"PROMALHAS UV COMERCIO EIRELI EPP";"A";10.632,85;291.246,80;16.150,71;"NORMAL";"TECIDOS";"CARUARU";"II";18/08/2017
"073298220";"28443415000159";"RAFAEL VINICIUS SOARES DE ALBUQUERQUE COMERCIO EPP";"C";;2.232.758,52;1.758.922,74;"NORMAL";"BEBIDAS";"ITAMBE";"I";17/08/2017
"073297097";"28443093000148";"PRATA COMERCIO DE ALIMENTOS EIRELI EPP";"C";1.006,15;868.877,05;757.988,50;"NORMAL";"ATACADO DE ALIMENTOS";"CAMOCIM DE SAO FELIX";"II";17/08/2017
"073286567";"28428521000163";"COMERCIAL ITAMARACA ALIMENTOS LTDA ME";"C";;771.918,22;;"NORMAL";"SUPERMERCADOS";"ILHA DE ITAMARACA";"I";16/08/2017
"073286486";"28428507000160";"COMERCIAL MIRANDIBA ALIMENTOS EIRELI EPP";"C";;1.194.310,40;;"NORMAL";"SUPERMERCADOS";"MIRANDIBA";"II";16/08/2017
"073262625";"28393020000199";"ERIVALDO VICENTE DA SILVA 10508405424";"A";;218.341,50;;"SIMEI";"VAREJO";"RECIFE";"I";15/08/2017
"073256811";"28388751000146";"LUAN FILIPE DE SOUTO 11330506464";"C";;632.232,14;635.316,00;"NORMAL";"TECIDOS";"SURUBIM";"II";15/08/2017
"073218308";"28361569000100";"ERNANI FERREIRA DA SILVA 01293368407";"A";2.759,56;294.794,29;;"SIMEI";"ATACADO DE ALIMENTOS";"JABOATAO DOS GUARARAPES";"I";15/08/2017
"073212792";"21786610000132";"JORGE TADEU ALVES FIGUEIROA FILHO 05628721409";"A";3,11;517.808,02;;"SIMEI";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";15/08/2017
"073203530";"28352429000167";"TIAGO CANDIDO DA SILVA 71502466481";"C";300,00;422.276,78;1.070.359,63;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";15/08/2017
"073201162";"28388463000191";"ANDRE FRANCISCO DA SILVA CONFECCOES";"S";;337.992,92;;"NORMAL";"TECIDOS";"TORITAMA";"II";15/08/2017
"073200948";"27744825000339";"JOSE ALAN DA SILVA VAREJISTA DE TECIDOS EPP";"C";;;580.591,40;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";15/08/2017
"073200867";"26104464000212";"JOSE EDUARDO DOS SANTOS SILVA VAREJISTA DE TECIDOS";"S";;428.953,02;655.059,59;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";15/08/2017
"073196304";"26228381000235";"ROBERTA SIMONE DO NASCIMENTO";"C";150,00;1.407.292,34;2.708.596,22;"NORMAL";"TECIDOS";"JATAUBA";"II";14/08/2017
"073195090";"28367815000122";"COMERCIAL VENTUROSA MERCADOS EIRELI EPP";"C";;1.178.933,70;;"NORMAL";"SUPERMERCADOS";"VENTUROSA";"II";14/08/2017
"073192902";"27281478000436";"JURACI BEZERRA DE MELO";"S";;727.520,44;23.981,50;"NORMAL";"TECIDOS";"JATAUBA";"II";14/08/2017
"073192821";"17418649000472";"GIALISON PEREIRA DOS SANTOS";"S";;724.870,66;108.966,95;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";14/08/2017
"073181110";"28375883000133";"COMERCIAL MANDAU EIRELI EPP";"C";;1.405.511,60;420.500,00;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";09/08/2017
"073171310";"28349799000145";"BRUNO RAPHAEL GOMES DA SILVA 06539557400";"C";6.717,91;268.791,46;;"NORMAL";"VAREJO";"RECIFE";"I";07/08/2017
"073153680";"28338083000142";"JUCIANO LEITE DA SILVA 09307941416";"C";;143.283,60;150.720,00;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";07/08/2017
"073130630";"28320606000123";"ANDSON JOSE DA SILVA 09487747460";"C";;202.165,61;907.298,30;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";07/08/2017
"073097322";"28295866000196";"RAIMUNDO DOS SANTOS LOPES 43893740368";"S";;452.928,34;;"NORMAL";"INDUSTRIA DE ALIMENTOS";"SERTANIA";"II";07/08/2017
"073091715";"28352368000138";"MERCANTIL VILA POPULAR EIRELI EPP";"C";160,70;2.005.069,20;527.071,44;"NORMAL";"ATACADO DE ALIMENTOS";"FLORES";"II";07/08/2017
"073087874";"28346836000161";"J.H. MEDINO DA SILVA EPP";"C";;102.120,00;41.000,00;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";07/08/2017
"073085154";"28340485000181";"JOAO PEREIRA DISTRIBUIDORA EIRELI EPP";"C";;;1.466.598,32;"NORMAL";"INDUSTRIA DE ALIMENTOS";"MACHADOS";"I";04/08/2017
"073078700";"28322796000118";"CASA MODA CONFECCOES LTDA ME";"S";4.656,65;163.013,76;;"SIMPLES NACIONAL";"TECIDOS";"RECIFE";"I";02/08/2017
"073078450";"28322472000180";"COMERCIAL CARAUNA LTDA EPP";"C";;2.278.196,62;287.190,00;"NORMAL";"INDUSTRIA DE ALIMENTOS";"AFOGADOS DA INGAZEIRA";"II";02/08/2017
"073077216";"28322237000108";"COMERCIAL JOSE ALBERTO LIMA LOURENCO EIRELI EPP";"C";;1.601.132,50;3.147.672,99;"NORMAL";"ATACADO";"POCAO";"II";02/08/2017
"073077054";"28321866000113";"COMERCIAL FALESIAS LTDA EPP";"C";;3.608.089,10;4.114.931,01;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";02/08/2017
"073071790";"28306191000133";"ATACADO DAS MALHAS EIRELI ME";"S";;217.468,54;1.439.232,01;"NORMAL";"TECIDOS";"RECIFE";"I";01/08/2017
"073070807";"28301960000100";"MARCELO FRANCISCO PEREIRA ME";"C";;563.533,53;5.575.645,81;"NORMAL";"BEBIDAS";"RIACHO DAS ALMAS";"II";01/08/2017
"073070637";"27744825000258";"JOSE ALAN DA SILVA VAREJISTA DE TECIDOS EPP";"C";;73.377,50;674.021,55;"NORMAL";"TECIDOS";"FREI MIGUELINHO";"II";01/08/2017
"073028789";"28268965000189";"CARLOS CESAR GOMES DA SILVA 07161635438";"C";72,40;161.836,39;237.487,40;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";31/07/2017
"073019364";"28263417000166";"SAMARA CLEIA SILVA NASCIMENTO 06790416307";"C";;312.714,87;;"NORMAL";"BEBIDAS";"BELEM DE MARIA";"I";31/07/2017
"073018392";"28262794000180";"REGINA CLAUDINO DA SILVA 99400464304";"C";;323.184,55;;"NORMAL";"BEBIDAS";"SAO JOSE DO BELMONTE";"III";31/07/2017
"073017582";"28262393000120";"MARIA IZALENE GOMES DA SILVA 34413872878";"C";;395.107,93;;"NORMAL";"BEBIDAS";"CATENDE";"I";31/07/2017
"073016691";"28262023000193";"CINTIA TEIXEIRA CAITANO 01547425385";"C";;505.640,87;;"NORMAL";"BEBIDAS";"VERDEJANTE";"III";31/07/2017
"073008672";"28256404000160";"ALLISON MORAIS LINDOSO 04714477498";"A";1,06;173.800,00;;"SIMEI";"TECIDOS";"RECIFE";"I";31/07/2017
"072992735";"28245804000170";"MACIEL DA SILVA MIRANDA 11645800431";"B";;578.949,97;;"SIMEI";"TECIDOS";"TORITAMA";"II";31/07/2017
"072986760";"28289187000104";"PAULO NAZARE CAVALCANTI DE ALBUQUERQUE EPP";"A";;156.000,00;2.001.501,75;"NORMAL";"INDUSTRIA";"OLINDA";"I";31/07/2017
"072982691";"28286666000177";"COMERCIO DE ALIMENTOS FREI DAMIAO LTDA ME";"C";;1.656.829,79;;"NORMAL";"SUPERMERCADOS";"ARARIPINA";"III";28/07/2017
"072982268";"09413749000488";"FABIANO FERREIRA DA SILVA TECIDOS EPP";"S";;155.918,13;2.215.332,15;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";28/07/2017
"072981105";"28281158000104";"M P DOS SANTOS PRODUTOS EM PAPEL ME";"S";12,00;954,50;2.201.606,39;"NORMAL";"INDUSTRIA";"RECIFE";"I";28/07/2017
"072948400";"28227845000133";"EDILEUZA CONCEICAO DA SILVA 08763299461";"C";;143.874,40;;"NORMAL";"TECIDOS";"TORITAMA";"II";26/07/2017
"072946890";"28226815000102";"TIAGO SILVA DE SOUZA 00914445359";"C";;120.083,04;;"NORMAL";"BEBIDAS";"PETROLINA";"III";26/07/2017
"072946709";"28226663000148";"TIAGO SILVA DE SOUZA 33557674843";"C";;267.598,55;;"SIMEI";"BEBIDAS";"PETROLINA";"III";26/07/2017
"072946385";"28226485000155";"CLAUDEMIR FRANCISCO CARVALHO DA SILVA 04305585464";"A";2.557,85;95.934,52;;"SIMEI";"VAREJO";"RECIFE";"I";26/07/2017
"072946113";"28226438000101";"FABIANA PESSOA SILVA 01907267336";"C";;115.127,30;;"NORMAL";"BEBIDAS";"VITORIA DE SANTO ANTAO";"II";26/07/2017
"072918411";"28209462000132";"GEOVANA GESSICA SILVA DE SENA 12597507440";"C";;64.539,81;309.973,50;"NORMAL";"TECIDOS";"TORITAMA";"II";26/07/2017
"072890142";"28257823000116";"NEUSVALDO DOS SANTOS ME";"C";;724.296,12;;"NORMAL";"ATACADO DE ALIMENTOS";"BOM CONSELHO";"II";26/07/2017
"072887192";"28236348000100";"WILTON JOSE DA SILVA CONFECCOES ME";"S";8.206,06;501.761,97;;"SIMPLES NACIONAL";"TECIDOS";"TORITAMA";"II";25/07/2017
"072882808";"28247809000131";"LUCIENE FELIPE EPP";"C";;336.132,08;;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";24/07/2017
"072880341";"27016125000328";"AMANDA KELLY DO NASCIMENTO SILVA";"C";;;581.682,65;"NORMAL";"TECIDOS";"TAQUARITINGA DO NORTE";"II";24/07/2017
"072869453";"28237292000108";"COMERCIAL M. J. MEDINO EIRELI EPP";"C";;;;"NORMAL";"BEBIDAS";"VENTUROSA";"II";21/07/2017
"072867400";"28229889000100";"COMERCIAL NEW YORK EIRELI EPP";"C";;251.588,48;;"NORMAL";"INDUSTRIA DE ALIMENTOS";"FLORES";"II";21/07/2017
"072861630";"26270396000261";"MARCIO DA SILVA FREITAS";"S";;97.160,94;1.252.647,50;"NORMAL";"TECIDOS";"VERTENTES";"II";19/07/2017
"072861045";"28199952000103";"COMERCIAL LUIZ PAULO DA SILVA EIRELI EPP";"C";;47.633,57;3.115.329,01;"NORMAL";"BEBIDAS";"LAGOA DO ITAENGA";"I";18/07/2017
"072852720";"28190857000130";"JOSE ALEFE DE OLIVEIRA 14219289496";"C";;50.013,00;778.614,20;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";17/07/2017
"072850272";"28189768000174";"FLAVIA FRANCISCA DOS SANTOS ANDRADE 10538896400";"A";;541.603,83;;"SIMEI";"VAREJO";"CABO DE SANTO AGOSTINHO";"I";17/07/2017
"072830166";"28174323000110";"JACKSON DE MOURA BARBOSA 10627557406";"C";;639.735,80;1.212.760,60;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";17/07/2017
"072828269";"28173308000158";"ROSANGELA SOARES DA SILVA 04358981321";"C";;409.440,29;;"NORMAL";"BEBIDAS";"BUIQUE";"II";17/07/2017
"072793023";"28149031000128";"MARIA JOSE DA SILVA FILHA 86791133449";"C";;240.333,71;;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";17/07/2017
"072776013";"08401495000334";"M DA CONCEICAO PEREIRA";"C";;858.016,08;;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";14/07/2017
"072773502";"27156601000306";"ANA CLAUDIA SILVA TECIDOS";"S";;868.788,86;;"NORMAL";"TECIDOS";"SERTANIA";"II";14/07/2017
"072772298";"27948738000212";"ANDRESA LUANA DO NASCIMENTO OLIVEIRA";"S";;879.517,30;;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";14/07/2017
"072772107";"27281478000355";"JURACI BEZERRA DE MELO";"C";;1.848.100,48;684.051,60;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";14/07/2017
"072767960";"28141817000107";"DOUGLAS DA S DE LIMA TECIDOS E CONFECCOES ME";"A";1.526,70;469.056,32;100.160,90;"SIMPLES NACIONAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";13/07/2017
"072754800";"28137124000132";"WESLLEYN MATEUS DE ALMEIDA HERCULANO DA SILVA 12230769464";"A";;296.501,63;;"SIMEI";"VAREJO";"SAO LOURENCO DA MATA";"I";11/07/2017
"072744405";"28129901000105";"SOLANGE LIMA BARBOSA 08502211455";"A";13.146,15;104.950,23;;"SIMEI";"VAREJO";"TRINDADE";"III";11/07/2017
"072704020";"28097827000184";"MAILSON ARTUR DOS SANTOS 09671689450";"A";740,00;86.058,50;;"SIMEI";"VAREJO";"PETROLINA";"III";11/07/2017
"072691700";"28089553000181";"MARIA DE JESUS ARRAES 10035737468";"A";920,00;227.015,29;;"SIMEI";"VAREJO";"ARARIPINA";"III";11/07/2017
"072689986";"28088625000176";"MAURO SERGIO GOMES DE OLIVEIRA 00266870627";"C";;301.778,24;;"NORMAL";"TECIDOS";"VITORIA DE SANTO ANTAO";"II";11/07/2017
"072686103";"28129483000148";"J VIDAL DA SILVA CONFECCCOES ME";"S";;;112.122,00;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";11/07/2017
"072680920";"28152907000195";"JEF SOLUCOES E DISTRIBUIDORA EIRELI ME";"C";1.252,69;251.850,43;383.764,72;"NORMAL";"ATACADO";"RECIFE";"I";11/07/2017
"072662948";"28081257000134";"LUCIANO MOREIRA DOS SANTOS 01671109503";"C";;361.004,00;;"NORMAL";"TECIDOS";"CARPINA";"I";07/07/2017
"072650184";"28068622000170";"MARLENE MARIA GOMES DE FRANCA 02240628405";"A";22.968,99;130.948,29;;"SIMEI";"VAREJO";"PAULISTA";"I";07/07/2017
"072646233";"28064862000105";"JOSE CARLOS SOUZA NOBRE 01618872362";"S";;190.012,63;;"NORMAL";"ATACADO DE ALIMENTOS";"LAJEDO";"II";07/07/2017
"072607092";"27016125000247";"AMANDA KELLY DO NASCIMENTO SILVA";"C";;613.517,09;759.059,60;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";07/07/2017
"072593440";"28024948000104";"VLADEMIR RODRIGO MARIZ NEVES 02757754459";"A";;138.069,21;;"SIMEI";"VAREJO";"PAULISTA";"I";05/07/2017
"072577754";"23394008000185";"SAMUEL FERNANDO DA SILVA 21336040491";"S";10.039,53;339.158,87;;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";05/07/2017
"072575115";"28008615000183";"PAULO ANGELO RANGEL SEIXAS 42666104400";"S";9,00;119.078,32;;"SIMPLES NACIONAL";"VAREJO";"RECIFE";"I";05/07/2017
"072561165";"27998337000196";"VIVIANY COSTA LEITE 04087441547";"C";;266.898,70;;"NORMAL";"TECIDOS";"RIACHO DAS ALMAS";"II";05/07/2017
"072560606";"27998030000195";"WALDIR CLAUDIO DE PAULA 31222641615";"A";;299.364,66;;"SIMEI";"TECIDOS";"PASSIRA";"I";05/07/2017
"072538694";"28078329000194";"J DE SOUSA MACIEL ME";"C";;1.826.923,10;;"NORMAL";"SUPERMERCADOS";"CACHOEIRINHA";"II";05/07/2017
"072533897";"27281473000322";"EDIVALDO BARBOSA DA SILVA TECIDOS";"C";;796.521,10;46.174,50;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";04/07/2017
"072528036";"28077884000100";"M. J. MEDINO COMERCIO EPP";"C";;560.989,87;883.218,90;"NORMAL";"BEBIDAS";"SAO JOSE DO EGITO";"II";30/06/2017
"072527579";"28046976000114";"BRUNO CESAR DEDA PACHECO EIRELI ME";"A";188,06;229.536,30;;"SIMPLES NACIONAL";"INDUSTRIA";"CARUARU";"II";30/06/2017
"072507039";"28037278000152";"NORDESTINA COMERCIO DE MATERIAIS DE CONSTRUCOES LTDA ME";"C";;;2.263.218,25;"NORMAL";"MATERIAL DE CONSTRUCAO";"RECIFE";"I";26/06/2017
"072499699";"27994670000127";"R GOMES DA SILVA ALIMENTOS ME";"C";;2.197.958,04;;"NORMAL";"SUPERMERCADOS";"LAGOA DO OURO";"II";22/06/2017
"072470607";"27973118000152";"ANDERSON MARTINS DE LIRA 25753986811";"A";7.990,05;172.529,07;;"SIMEI";"INDUSTRIA";"JABOATAO DOS GUARARAPES";"I";20/06/2017
"072454750";"27963039000160";"ANDRESA AMORIM DA SILVA 07388604413";"C";;131.541,28;;"NORMAL";"TECIDOS";"CORRENTES";"II";20/06/2017
"072452110";"27961631000123";"MARILUSA CARVALHO DOS SANTOS 65617681400";"A";10,13;112.244,49;;"SIMEI";"TECIDOS";"CARUARU";"II";20/06/2017
"072446064";"27956526000104";"NELSON VALENTE COSTA FILHO 02273835590";"A";;110.823,15;;"SIMEI";"TECIDOS";"LIMOEIRO";"I";20/06/2017
"072442077";"21671076000119";"MARCO ANTONIO CARVALHO FERREIRA 81443439487";"S";2.550,35;158.768,22;;"NORMAL";"TECIDOS";"XEXEU";"I";20/06/2017
"072438983";"27951624000140";"JOSE AUGUSTO DA SILVA JUNIOR 09724740480";"A";2,16;122.097,35;;"SIMEI";"VAREJO";"JABOATAO DOS GUARARAPES";"I";20/06/2017
"072423528";"27982722000145";"MARINHO TEXTIL COMERCIO DE TECIDOS LTDA ME";"A";19.737,03;1.688.224,99;137.793,23;"NORMAL";"TECIDOS";"CARUARU";"II";20/06/2017
"072412240";"09413749000305";"FABIANO FERREIRA DA SILVA TECIDOS EPP";"S";;335.843,70;3.621.165,80;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";16/06/2017
"072411511";"27956206000146";"REALEZA RESIDUOS  E LOCACOES EIRELI ME";"S";2.379,09;18.960,00;1.474.864,00;"NORMAL";"ATACADO";"RECIFE";"I";16/06/2017
"072409290";"27974149000128";"COMERCIAL SANTA MONICA EIRELI ME";"C";;1.628.849,97;1.302.936,32;"NORMAL";"BEBIDAS";"TRIUNFO";"II";16/06/2017
"072409100";"27974148000183";"ERIKA DO CARMO MEDINO ME";"C";500,29;1.462.517,54;119.406,75;"NORMAL";"BEBIDAS";"TABIRA";"II";16/06/2017
"072409029";"27974144000103";"COMERCIAL JANIRE DO CARMO MEDINO EIRELI EPP";"C";;91.800,68;2.220.573,52;"NORMAL";"BEBIDAS";"CATENDE";"I";16/06/2017
"072408642";"27973707000130";"D. DA SILVA GOMES COMERCIO DE ALIMENTOS E REPRESENTACOES EPP";"C";;1.822.477,06;777.040,88;"NORMAL";"BEBIDAS";"PESQUEIRA";"II";15/06/2017
"072408561";"27973705000141";"GOMES E BENTO REPRESENTACOES E COMERCIO DE ALIMENTOS LTDA EPP";"C";;1.865.313,17;687.850,66;"NORMAL";"BEBIDAS";"VENTUROSA";"II";15/06/2017
"072408480";"27973703000152";"PRADO COMERCIO DE ALIMENTOS E REPRESENTACOES EIRELI EPP";"C";4.897,08;1.047.750,34;345.090,13;"NORMAL";"BEBIDAS";"PESQUEIRA";"II";15/06/2017
"072403683";"27967981000105";"FRANCISCO WILTON DA SILVA ME";"C";;2.194.497,45;;"NORMAL";"SUPERMERCADOS";"ARCOVERDE";"II";14/06/2017
"072401710";"27948738000131";"ANDRESA LUANA DO NASCIMENTO OLIVEIRA";"S";;544.461,89;;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";14/06/2017
"072375027";"27925975000187";"PAULO HENRIQUE JULIAO DO NASCIMENTO 06473401350";"S";;703.906,32;;"NORMAL";"BEBIDAS";"CATENDE";"I";13/06/2017
"072374802";"27925871000172";"JOAO DA ROCHA OLIVEIRA 53252063387";"S";;699.381,77;;"NORMAL";"BEBIDAS";"IBIMIRIM";"II";13/06/2017
"072373407";"27925252000188";"EDIVAN CANDIDO DA SILVA JUNIOR 11943207402";"B";;;70.404,56;"NORMAL";"INDUSTRIA DE ALIMENTOS";"GRAVATA";"II";13/06/2017
"072355344";"27911504000110";"ROMARIO FRANCISCO DA SILVA 01808536436";"B";;504.509,15;;"NORMAL";"VAREJO";"SALGADINHO";"I";13/06/2017
"072322250";"27936353000154";"JOSE MATEUS A.DE LIMA";"S";;20.290,00;429.456,10;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";12/06/2017
"072308427";"27924834000140";"FRANCISCO WILTON DA SILVA EIRELI ME";"C";;171.600,00;;"NORMAL";"SUPERMERCADOS";"CARPINA";"I";09/06/2017
"072299843";"27906442000158";"COMERCIAL LAGOA AZUL EIRELI ME";"C";;3.856.384,83;976.360,27;"NORMAL";"BEBIDAS";"FLORES";"II";09/06/2017
"072299339";"27906400000117";"ANDERSON DA SILVA CLAUDINO ME";"C";;1.286.934,96;1.381.693,10;"NORMAL";"INDUSTRIA DE ALIMENTOS";"RECIFE";"I";09/06/2017
"072295503";"27156601000225";"ANA CLAUDIA SILVA TECIDOS";"S";;758.379,93;;"NORMAL";"TECIDOS";"SERTANIA";"II";09/06/2017
"072294531";"27891699000183";"ANDERLITON BEZERRA DE CARVALHO ME";"S";;;334.642,80;"NORMAL";"TECIDOS";"TORITAMA";"II";09/06/2017
"072258900";"27847916000138";"JOSE C GUIMARAES DE MEDEIROS";"S";6,27;;134.963,95;"SIMPLES NACIONAL";"INDUSTRIA DE ALIMENTOS";"CABO DE SANTO AGOSTINHO";"I";05/06/2017
"072254319";"27845412000189";"MARIA AQUINO DAS NEVES 13247082476";"C";;798.683,52;501.392,40;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";05/06/2017
"072254157";"27845325000121";"GRESSON DA SILVA 10746485441";"C";;11.250,00;457.647,83;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";05/06/2017
"072232773";"27877063000187";"CARLOS ALBERTO FERREIRA GOMES JUNIOR 01512849383";"C";;231.545,55;;"NORMAL";"BEBIDAS";"VITORIA DE SANTO ANTAO";"II";05/06/2017
"072232188";"27876521000163";"THIAGO FERREIRA DA SILVA 02497257388";"C";;764.874,10;;"NORMAL";"BEBIDAS";"VITORIA DE SANTO ANTAO";"II";05/06/2017
"072224592";"27869640000199";"EDILSON CHAVES GOES 02090551380";"S";;718.945,33;;"NORMAL";"ATACADO DE ALIMENTOS";"SALGUEIRO";"III";05/06/2017
"072223782";"27869237000160";"FRANCISCO CARLOS SOARES PEREIRA 00105134341";"B";;1.268.237,49;;"SIMPLES NACIONAL";"INDUSTRIA DE ALIMENTOS";"MONTEIRO";"I";05/06/2017
"072222387";"27868709000160";"RAMON RODRIGUES DE LIMA 12254700480";"C";;;205.662,00;"NORMAL";"SUPERMERCADOS";"CARUARU";"II";05/06/2017
"072217707";"27860252000147";"COMERCIAL AGUAS BELAS VIEIRA LTDA EPP";"C";;534.277,93;1.845.243,44;"NORMAL";"ATACADO";"AGUAS BELAS";"II";05/06/2017
"072210966";"08401495000253";"M DA CONCEICAO PEREIRA";"S";;1.019.903,60;400.238,50;"NORMAL";"TECIDOS";"BREJO DA MADRE DE DEUS";"II";01/06/2017
"072206349";"27839749000183";"JOSE ADELSON DA SILVA JUNIOR CONFECCOES ME";"A";62.254,19;2.347.339,08;893.158,90;"SIMPLES NACIONAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";30/05/2017
"072169630";"27812431000109";"ROBSON SILVA SANTOS 05018806583";"C";;211.896,40;;"NORMAL";"BEBIDAS";"PETROLINA";"III";29/05/2017
"072169478";"27812267000130";"ANTONIO PEDRO SANTOS 58856730553";"C";;239.845,00;;"NORMAL";"BEBIDAS";"VITORIA DE SANTO ANTAO";"II";29/05/2017
"072166533";"27810460000131";"JOSEFA ELANIA DA SILVA 08911335428";"C";;;456.678,85;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";29/05/2017
"072166100";"27810194000147";"KELVES MESSIAS SILVA 11965000452";"C";150,00;;173.089,90;"NORMAL";"TECIDOS";"SANTA CRUZ DO CAPIBARIBE";"II";29/05/2017
"072123729";"27825980000118";"PAULO CESAR SANTOS CAMPOS ME";"C";;224.696,05;1.000,00;"SIMPLES NACIONAL";"TECIDOS";"SANTA MARIA DO CAMBUCA";"II";29/05/2017
"072103965";"27797800000131";"ALEXANDRE GALDINO DA SILVA VAREJISTA DE TECIDOS EPP";"S";;97.370,00;1.240.423,25;"NORMAL";"TECIDOS";"PASSIRA";"I";24/05/2017
"072101911";"27798128000107";"FABIANE ALVES CELESTINO EIRELI ME";"A";3.781,55;75.513,20;123.874,00;"SIMPLES NACIONAL";"TECIDOS";"PETROLINA";"III";23/05/2017
"072100940";"27776094000141";"A N DA SILVA MODAS ME";"S";46,44;202.995,21;;"SIMPLES NACIONAL";"TECIDOS";"RECIFE";"I";23/05/2017
"072070188";"27534880000132";"JHONATTA AMARAL VAZ 70033700184";"A";;8.210,40;717.096,14;"SIMEI";"TECIDOS";"CAMARAGIBE";"I";22/05/2017
